readout,probe_accuracy,probe_auc,mean_fold_cosine,mean_gap,game_projection_mean,neutral_projection_mean
0,0.5,0.5,0.0,0.0,0.0,0.0
1,0.996,0.998144,0.9999086373448873,0.07021746459175301,-1.7720475361535561,-1.8422650008251713
2,1.0,1.0,0.9999413750253957,0.16533872652384105,-2.753165303633247,-2.91850402996527
3,0.989,0.999192,0.999938763073066,0.215696093235385,-5.541030819597599,-5.756726913725605
4,1.0,1.0,0.9999598397563998,0.4212972829646655,-3.067921544340108,-3.4892188278416825
5,1.0,1.0,0.9999613727126553,0.49494399863506106,-0.5297239283712217,-1.0246679264560732
6,1.0,1.0,0.9999603057921828,0.5128545551875302,3.0892126518685625,2.576358096842015
7,0.998,0.999992,0.9999619771686973,0.5378358478806526,6.90619056441056,6.36835471729391
8,0.999,1.0,0.999942746777767,0.6202925262632619,7.695394204550972,7.075101677561533
9,1.0,1.0,0.999932039607479,0.6386467975166115,2.616794962753547,1.9781481651798654
10,1.0,1.0,0.9999085093403719,0.6895178215054641,0.5809054986354925,-0.10861232251402826
11,1.0,1.0,0.9999187683817794,0.7535127489961612,-1.9570374738536476,-2.710550222754097
12,1.0,1.0,0.9999403372220528,0.9786705639179302,0.35505497681860054,-0.6236155879942916
13,1.0,1.0,0.9999569710629105,1.3457345865533714,1.7492339641825438,0.40349937791916735
14,1.0,1.0,0.9999523120033263,1.545535477522069,9.992510557408682,8.44697507836949
15,1.0,1.0,0.999948238190482,1.5396860962081678,8.532838150821018,6.993152054828171
16,1.0,1.0,0.9999493828688222,1.9951407436390245,5.815385856648701,3.820245112272958
17,1.0,1.0,0.9999454246841403,1.9919250377084805,-1.0006952786798191,-2.9926203155781996
18,1.0,1.0,0.9999367269162717,2.1541245473766395,-4.215755947061173,-6.3698804928805695
19,1.0,1.0,0.9999324442063411,2.200059806278329,-4.907081732408258,-7.1071415390126536
20,1.0,1.0,0.9999585007146425,3.2818103033111345,-4.086319390591375,-7.368129692380663
21,1.0,1.0,0.9999589753841688,3.8758455918749526,1.689792275770568,-2.186053314078707
22,1.0,1.0,0.9999512701635487,3.844194857225162,4.980354868048179,1.1361600120052218
23,1.0,1.0,0.9999496589773175,3.727943999266535,5.081049042927211,1.3531050445575388
24,1.0,1.0,0.9999671120696385,5.4042653876497075,7.21732418859305,1.8130587917530299
25,1.0,1.0,0.999959533166456,5.447535995311723,7.75873649566307,2.3112004979007343
26,1.0,1.0,0.9999521195262885,5.437227934369854,3.1039918923932666,-2.333236042744048
27,1.0,1.0,0.9999466685632173,5.545145242790943,6.273804264808451,0.7286590226768273
28,1.0,1.0,0.999959844199088,8.853578442157197,6.9836993310198885,-1.869879118306403
29,1.0,1.0,0.9999530182561005,9.190323104496677,5.105821158641362,-4.084501945930308
30,1.0,1.0,0.9999446881910137,10.339829823415329,1.6189532176393444,-8.720876603944106
31,1.0,1.0,0.9999354378366542,10.601957899868166,1.9830324125905585,-8.61892548526352
32,1.0,1.0,0.999935626431756,13.424992980695981,-4.666852142480498,-18.09184513000525
33,1.0,1.0,0.9999275992575356,13.58252881354413,-4.873893037385683,-18.456421865186257
34,1.0,1.0,0.9999116825001784,13.639956261319957,-6.0447025863022965,-19.684658843063463
35,1.0,1.0,0.9999008063674488,12.90508372997827,-4.376444732464198,-17.28152845125343
36,1.0,1.0,0.9998899341619918,14.81791909773056,-0.04251524983910904,-14.860434349589767
37,1.0,1.0,0.9998774474606847,14.683899286988531,-0.9332217012414163,-15.61712097806821
38,1.0,1.0,0.9998721133644153,15.083524214038434,-2.5090998288124293,-17.59262404792405
39,1.0,1.0,0.999861224252735,14.481817693810765,-2.19466652886369,-16.676484207649285
40,1.0,1.0,0.999854385161508,15.584252918571849,1.7433147134876545,-13.840938209670863
41,1.0,1.0,0.9998446478822028,15.504223605425294,2.084381218428459,-13.419842383914245
42,1.0,1.0,0.999830277025984,15.634547841857593,-1.1528612118147636,-16.78740904664106
43,1.0,1.0,0.9998295697925578,16.417186937213085,-0.11059619058642278,-16.527783148862966
44,1.0,1.0,0.99981488407964,17.62899635371859,2.487373604779326,-15.141622745257973
45,1.0,1.0,0.9997956171930337,17.896834934981555,3.4741499384897634,-14.42268499930521
46,1.0,1.0,0.9997905903761737,19.28735445118,5.136204369186744,-14.151150092152353
47,1.0,1.0,0.9997767630367689,20.384087821679707,9.442763148095803,-10.941324672332891
48,1.0,1.0,0.9997257218150608,20.429919897222206,16.51410433366769,-3.9158155504244068
49,1.0,1.0,0.9996970124368806,21.512124490293946,13.80937678131854,-7.702747704641311
50,1.0,1.0,0.9996464679789602,22.13347077914014,14.620519030155098,-7.512951729797505
51,1.0,1.0,0.9996171452053483,24.540261891861856,17.343277292784535,-7.196984581789289
52,1.0,1.0,0.9995865364228145,26.252500762042914,29.673068346961045,3.4205676847122524
53,1.0,1.0,0.9995551733021912,27.11058765438049,32.8249018202375,5.714314134933481
54,1.0,1.0,0.9995529669968819,29.312197787870883,32.27671356908172,2.9645157089815495
55,1.0,1.0,0.9995251502223953,30.16352204498464,30.80256044379708,0.6390384141824823
56,0.998,0.999924,0.999491710098307,32.21426983523912,22.76626715023741,-9.448002701106907
57,0.998,0.999984,0.9994887939566093,33.48327048048294,30.068777141712253,-3.4144933748069413
58,0.998,0.99998,0.9994909225638077,34.99821159728922,44.384241148074146,9.386029538209275
